Judul,penulis,Dosen Pembimbing I,Dosen Pembimbing II,abstrak,label
"Pengaruh Profitabilitas, Likuiditas, Solvabilitas, Aktivitas, dan Firm Size Terhadap Nilai Perusahaan dengan Kebijakan Dividen sebagai Variabel Pemoderasi Pada Perusahaan Properti dan Real Estate di Bursa Efek Indonesia Periode 2012-2016 ",Penulis : Dewy Arifah,"Purnamawati, S.E., M.Si","Hadi Purnomo, S.E., MM","ABSTRAK
Pengaruh Rasio Profitabilitas, Likuiditas, Solvabilitas, dan Aktivitas terhadap Nilai Perusahaan dengan Kebijakan Dividen sebagai variabel Pemoderasi (Studi Empiris pada Perusahaan Properti dan Real Estate yang terdaftar di Bursa Efek Indonesia (BEI) Periode 2012-2016). Kinerja keuangan dalam perusahaan harus diperhatikan untuk pencapaian nilai perusahaan yaitu diantaranya rasio profitabilitas, likuiditas, solvabilitas, aktivitas, dan firm size. Nilai Perusahaan merupakan sebuah nilai yang dapat digunakan untuk mengukur seberapa besar âTingkat Kepentinganâ sebuah perusahaan. Dividend Payout Ratio menunjukkan besaran dividen yang dibagikan terhadap total laba bersih sekaligus menjadi parameter untuk mengukur besaran dividen yang akan dibagikan kepada pemaegang saham.
Penelitian ini bertujuan untuk mengetahui pengaruh (1) Rasio Profitabilitas terhadap Nilai Perusahaan, (2)  Rasio Likuiditas terhadap Nilai Perusahaan, (3) Rasio Solvabilitas terhadap Nilai Perusahaan, (4) Rasio Aktivitas terhadap Nilai Perusahaan, (5) Firm Size terhadap Nilai Perusahaan, (6) Rasio Profitabilitas, Rasio Likuiditas, Rasio Solvabilitas, Rasio Aktivitas, Firm Size secara simultan terhadap Nilai Perusahaan, dan (7)  Rasio Profitabilitas, Rasio Likuiditas, Rasio Solvabilitas, Rasio Aktivitas, Firm Size dengan Kebijakan Dividen sebagai variabel moderasi terhadap Nilai Perusahaan. Data yang digunakan sebagai sampel pada penelitian ini adalah laporan keuangan tahun 2012-2016 dengan menggunakan metode purposive sampling. Pengungkapan nilai perusahaan menggunakan Tobinâs Q dan Kebijakan Dividen sebagai variabel moderasi menggunakan Dividend Payout Ratio. Metode analisis dalam penelitian ini menggunakan analisis regresi berganda dan regresi moderasi.
Hasil dari penelitian ini menunjukkan (1) Rasio Profitabilitas berpengaruh positif secara signifikan terhadap Nilai Perusahaan dengan tingkat signifikansi sebesar 0,005<0,05. (2)  Rasio Likuiditas berpengaruh negatif dan tidak signifikan terhadap Nilai Perusahaan dengan tingkat signifikansi sebesar 0,307>0,05. (3) Rasio Solvabilitas berpengaruh negatif secara signifikan terhadap Nilai Perusahaan dengan tingkat signifikansi sebesar 0,026<0,05.       (4) Rasio Aktivitas berpengaruh positif secara signifikan terhadap Nilai Perusahaan dengan tingkat signifikansi sebesar 0,028<0,05. (5) Firm Size berpengaruh positif secara signifikan terhadap Nilai Perusahaan dengan tingkat signifikansi sebesar 0,049<0,05. (6) Rasio Profitabilitas, Rasio Likuiditas, Rasio Solvabilitas, Rasio Aktivitas, Firm Size berpengaruh secara simultan terhadap Nilai Perusahaan dengan tingkat signifikansi sebesar 0,000<0,05 nilai R square sebesar 0,408 atau 40,8%. (7)  Rasio Profitabilitas, Rasio Likuiditas, Rasio Solvabilitas, Rasio Aktivitas, Firm Size yang dimoderasi Kebijakan Dividen berpengaruh secara simultan terhadap Nilai Perusahaan dengan tingkat signifikansi sebesar 0,000<0,05 dan nilai R square sebesar 0,559 atau 55,9%.

Kata Kunci : Profitabilitas, Likuiditas, Solvabilitas, Aktivitas, Firm Size, Kebijakan Dividen, Nilai Perusahaan
",msdm
KINERJA KEUANGAN PERUSAHAAN DAN PREDIKSI KEBANGKRUTAN PERUSAHAAN SUB SEKTOR KIMIA YANG TERDAFTAR DI BURSA EFEK INDONESIA,Penulis : TRI SUTRISNO,"Drs. Ec Makhmud Zulkifli, M.Si","Fathor AS, SE., MM","ABSTRAK 
Tujuan dari penelitian ini adalah menganalisis pengaruh kinerja keuangan perusahaan dan prediksi kebangkrutan perusahaan sub sektor kimia yang terdaftar di Bursa Efek Indonesia, baik secara parsial maupun secara simultan. Penelitian ini adalah jenis penelitian deskriptif dan kuantitatif. Data yang digunakan dalam penelitian ini adalah data sekunder. Populasi dalam penelitian ini adalah perusahaan sub sektor kimia yang terdaftar di Bursa Efek Indonesia. Proposive sampling sebagai teknik pemilihan sampel menghasilkan 7 perusahaan sub sektor kimia sebagai sampel penelitian. Penelitian ini menggunakan current ratio (CR),debt to asset ratio (DAR), total asset turnover (TATO), return on asset (ROA) dan tobinâs q untuk mengukur kinerja keuangan perusahaan dan  metode Altman Z-Score sebagai pengukur prediksi kebangkrutan perusahaan sub sektor kimia yang terdaftar di Bursa Efek Indonesia. Penelitian ini di analisis menggunakan analisis regresi linier berganda.  Hipotesis dari penelitian ini adalah: (1) current ratio (CR) berpengaruh positif dan signifikan terhadap altman z score, (2) debt to asset ratio (DAR) berpengaruh negatif dan signifikan terhadap altman z score, (3) total asset turnover (TATO) berpengaruh positif dan signifikan terhadap altman z score, (4) return on asset (ROA) berpengaruh positif dan signifikan terhadap altman z score,(5) tobinâs q berpengaruh positif dan signifikan terhadap altman z score, (6) current ratio (CR),debt to asset ratio (DAR), total asset turnover (TATO), return on asset (ROA) dan tobinâs q berpengaruh signifikan terhadap altman z score. Hasil dari penelitian ini, menyatakan bahwa: (1) current ratio (CR) berpengaruh positif dan signifikan terhadap altman z score, (2) debt to asset ratio (DAR) berpengaruh negatif dan signifikan terhadap altman z score, (3) total asset turnover (TATO) berpengaruh positif dan signifikan terhadap altman z score,  (4) return on asset (ROA) berpengaruh positif dan tidak signifikan terhadap altman z score (5) tobinâs q berpengaruh negatif dan tidak signifikan terhadap altman z score. (6) current ratio (CR),debt to asset ratio (DAR), total asset turnover (TATO), return on asset (ROA) dan tobinâs q berpengaruh signifikan terhadap altman z score. 
 
Kata Kunci: Kinerja Keuangan, Prediksi Kebangkrutan, Altman Z Score. ",keuangan
Rasio Keuangan Terhadap Sisa Hasil Usaha (SHU) (Studi Pada Koperasi Pegawai Republik Indonesia Di Kabupaten Pamekasan Periode 2013-2017),Penulis : Devinta Dianasari,"Dr. Chairul Anam, Drs. Ec., M.Kes","Dr. Hj. Iriani Ismail, Dra., MM.","ABSTRAK
Devinta Dianasari, Rasio Keuangan Terhadap SisaHasil Usaha (SHU) (Studi Pada Koperasi Pegawai Rpublik Indonesia di Kabupaten Pamekasan Periode 2013-2017) Dibawah Bimbingan Bapak Dr. Chairul Anam, Drs. Ec., M.Kes danIbu Dr. Hj. Iriani Ismail, Dra., MM.
Penelitian ini bertujuan untuk menganalisis pengaruh variabel Current Ratio, Debt Ratio, Net Profit Margin dan Inventory Turnover Terhadap Sisa Hasil Usaha (SHU) pada KPRI di Kabupaten Pamekasan periode 2013-2017. Sampel penelitian ini ditentukan dengan metode purposive sampling. Mengungkapkan dan menyajikan data secara lengkap perhitungan rasio yang digunakan dalam penelitian di dalam RAB tahunan tiap koperasi tahun 2013-2017. Penelitian ini menggunakan 10 sampel koperasi. Penelitian ini menggunakan model regresi linier berganda. 
Hasil penelitian ini menyimpulkan bahwa secara parsial Current Ratio (CR) berpengaruh negatif dan tidak signifikan terhadap tingkat Sisa Hasil Usaha (SHU). Secara parsial Debt Ratio (DR) berpengaruh positif dan signifikan terhadap Sisa Hasil Usaha(SHU). Secara Parsial Net Profit Margin (NPM) berpengaruh Positif dan signifikan terhadap Sisa Hasil Usaha (SHU). Secara Parsial Inventory Turnover (IT) berpengaruh negatif dan signifikan terhadap Sisa Hasil Usaha (SHU).
Kata Kunci : Current Ratio (CR), Debt Ratio (DR), Net Profit Margin (NPM), Inventory Turnover (IT), dan Sisa Hasil Usaha (SHU)
",pemasaran
"PENGARUH UKURAN PERUSAHAAN, SALES GROWTH, LIKUIDITAS DAN OPERATING CAPACITY TERHADAP TERJADINYA FINANCIAL DISTRESS (PADA PERUSAHAAN MANUFAKTUR SEKTOR INDUSTRI DASAR DAN KIMIA: SUB SEKTOR KIMIA, SUB SEKTOR KERAMIK, PORSELEN DAN KACA YANG TERDAFTAR DI BEI 2013-2017)",Penulis : SITI MAFTUHAH,"Drs. Ec. H. Makhmud Zulkifli, M.Si","Dra. Hj. S Anugrahini Irawati, MM","Siti Maftuhah (2018), Pengaruh Ukuran Perusahaan, Sales Growth, Likuiditas dan Operating Capacity terhadap Terjadinya Financial distress pada Perusahaan Manufaktur Industri Dasar dan Kimia: Sub Sektor Kimia, Sub Sektor Keramik, Porselen dan Kaca yang Terdaftar di Bursa Efek Indonesia pada Tahun 2013- 2017. Dibawah bimbingan Bapak Drs. Ec. H. Makhmud Zulkifli, M.Si. dan  Ibu Dra. Hj. S. Anugrahini Irawati, MM.   Penelitian ini bertujuan untuk mengetahui Apakah berpengaruh Ukuran Perusahaan, Sales Growth, Likuiditas dan Operating Capacity secara parsial terhadap Terjadinya Financial Distress pada Perusahaan Manufaktur Industri Dasar dan Kimia: Sub Sektor kimia, Sub Sektor Keramik, Porselen dan Kaca yang Terdaftar di Bursa Efek Indonesia tahun 2013-2017. Populasi dari penelitian ini adalah perusahaan Manufaktur Industri Dasar dan Kimia: Sub Sektor Kimia, Sub Sektor Keramik, Porselen dan Kaca yang Terdaftar di Bursa Efek Indonesia pada tahun 2013-2017.   Metode teknik sampling probabilitas digunakan untuk memilih sampel perusahaan yang memiliki status financial distress. Tipe acak sederhana digunakan untuk memilih perusahaan yang memiliki Earning per Share (EPS) negatif selama dua tahun berturut-turut selama tahun 2013 sampai dengan 2017. Kriteria pemilihan sampel tersebut menggunakan teknik purposive sampling yang  menghasilkan 10 perusahaan yang dapat diteliti yang terdiri dari 6 perusahaan financial distress, 4 perusahaan non financial distress. Dengan jumlah populasi sebanyak 16 perusahaan.   Hasil penelitian dengan menggunakan logistic regression menunjukkan bahwa variabel yang mempunyai pengaruh terhadap terjadinya financial distress adalah  operating capacity dengan nilai koefisien regresi sebesar -5,654 yang bertanda negatif dan dengan tingkat signifikansi sebesar 0,007. Tingkat signifikansi operating capacity ini lebih kecil dari nilai signifikansi yang telah ditetapkan yaitu 0,05. Oleh karena itu operating capacity berpengaruh negatif dan signifikan terhadap financial distress. 
Kata Kunci : Ukuran Perusahaan, Sales Growth, Likuiditas, Operating Capacity,             Financial  Distress ",pemasaran
"PENGARUH ASSET GROWTH, PROFITABILITAS, SOLVABILITAS, FIRM SIZE TERHADAP DIVIDEN PAYOUT RATIO PADA PERUSAHAAN PROPERTY DAN REAL ESTATE YANG TERDAFTAR DI BURSA EFEK INDONESIA (BEI) PERIODE 2013-2017",Penulis : FARIDA,"Purnamawati, S.E., M.Si","Triana Setiyarini, S.E., MM","ABSTRAK
Farida, Pengaruh Asset Growth, Profitabilitas, Solvabilitas, Firm Size Pada Perusahaan Property Dan Real Esate Yang Terdaftar Di Bursa Efek Indonesia.  Dibawah bimbingan Purnamawati,S.E.,M.Si. dan Triana Setiyarini, S.E., MM.
 Tujuan penelitian ini untuk mengetahui pengaruh variabel asset growth, ROA, DER, firm size secara parsial dan simultan terhadap dividen payout ratio pada perusahaan property dan real estate yang terdaftar di Bursa Efek Indonesia.
 Penelitian ini dilakukan secara deskriptif kuantitatif dengan menggunakan data sekunder yang diperoleh di BEI. Metode pengambilan sampel sebanyak 10 perusahaan. Untuk pengujian menggunakan Uji asumsi klasik, sedangkan teknik analisis data memakai  uji T dan uji F.
 Hasil uji t diketahui bahwa asset growth secara parsial tidak berpengaruh signifikan terhadap dividen payout ratio dengan tingkat signifikan 0,252 > 0,05, return on asset secara parsial tidak berpengaruh signifikan terhadap dividen payout ratio dengan tingkat signifikan 0,947 > 0,05, debt to equity ratio secara parsial berpengaruh signifikan terhadap dividen payout ratio dengan tingkat signifikan 0,007 > 0,05, firm size secara parsial tidak berpengaruh signifikan terhadap dividen payout ratio dengan tingkat signifikan 0,691 < 0,05, sedangkan hasil uji F diketahui asset growth, ROA, DER, firm size secara simultan tidak berpengaruh signifikan terhadap dividen payout ratio dengan tingkat signifikan 0,445 < 0,05.

Kata kunci : Asset growth, return on asset, debt to equity ratio, firm size,                   dividen payout ratio.
",msdm
ANALISIS REGRESI LOGISTIK DALAM MENENTUKAN KEPUTUSAN PEMBERIAN KREDIT UMKM PADA LEMBAGA KEUANGAN ISLAMIC PEER TO PEER LENDING,Penulis : A. Rizal Khabibi,"Drs. Bambang Sudarsono, M.M","Mochammad Isa Anshori, S.E., M.Si","Penelitian ini bertujuan untuk mengetahui bagaimana variabel credit score, financing purpose, requested amount, financing term dan profit sharing estimate mengukur tingkat keakuratan model prediksi keputusan pemberian kredit UMKM pada lembaga keuangan Islamic Peer To Peer Lending.
Pendekatan yang digunakan dalam penelitian ini adalah penelitian deskriptif. Pengambilan sampel menggunakan metode purposive sampling dan diperoleh sebanyak 205 UMKM yang mengajukan pembiayaan. Teknik analisis data yang digunakan adalah analisis deskriptif dan analisis regresi logistik.
Berdasarkan penelitian yang telah dilakukan, diperoleh hasil bahwa model estimasi parameter dapat menentukan keputusan pemberian kredit pada lembaga keuangan Islamic Peer To Peer Lending Ammana dengan tingkat akurasi sebesar 98,5%. Dari model estimasi yang dihasilkan, variabel yang terbukti dapat memprediksi keputusan pemberian kredit secara signifikan adalah credit score dengan koefisien regresi sebesar 5,566, financing term dengan koefisien regresi sebesar 7,556 dan profit sharing estimate dengan koefisien regresi sebesar - 6,281 pada taraf signifikansi 0,05. Sedangkan variabel financing purpose dan requested amount tidak terbukti dapat memprediksi keputusan pemberian kredit UMKM secara signifikan pada taraf signifikansi 0,05.

Kata kunci: Analisis Regresi Logistik, Keputusan Kredit UMKM, Islamic Peer To Peer Lending",pemasaran
"PENGARUH PROMOSI JABATAN DAN KOMPENSASI
TERHADAP KINERJA KARYAWAN
MELALUI KEPUSAN KERJA SEBAGAI VARIABEL INTERVENING
PADA PT.PLN. (PERSERO) KABUPATEN PAMEKASAN
",Penulis : HANAFI,"Drs. Ec. Mudji Kuswinarno, M.si","Prasetyo Nugroho, S.Pi, MM","HANAFI,150211100001. Pengaruh Promosi Jabatan dan Kompensasi Terhadap Kinerja Karyawan Melalui Kepuasan Kerja Sebegai Variabel Intervening (Studi Kasus Pada PT. PLN (Persero) Kabupaten Pamekasan) Bimbingan Bapak Drs. Ec. Mudji Kuswinarno, M.si dan Bapak Prasetyo Nugroho, S. Pi, MM.
penelitian ini ada 4 variabel, promosi jabatan, kompensasi, kinerja karyawan dan kepuasan kerja sebagai variabel mediasi. Penelitian ini membahas tentang permasalahan yang ada di salah satu perusahaan yaitu PT. PLN (Persero) Kabupaten Pamekasan. Penelitian ini menggunakan pendekatan kuantitatif dengan analisis jalur, dengan jumlah responden 111. Tujuan dari penelitian ini adalah untuk menguji pengaruh promosi jabatan, kompensasi terhadap kinerja karyawan melalui kepuasan kerja sebagai variabel intervening.
Kata Kunci :PromosiJabatan, Komensasi, KepuasanKerja, KinerjaKaryawan.
",pemasaran
Pengaruh Hard Skill dan Soft Skill terhadap Produktivitas Karyawan (Studi Pada PT. Kimia FarmaTrading dan Distribution Surabaya).,Penulis : Andi Setyo Pandiyanto,"Dr.Hj.Iriani Ismail,Dra.MM","Dr.Muh. Alkirom Wildan,SE.,Msi","PT. Kimia FarmaTradingdanDistributionCabang Surabaya merupakansalahsatuanakperusahaandari PT. Kimia Farma Terbuka yang bergerakdibidanglayanandistrubusidanperdaganganprodukkesehatan. Saatini PT. Kimia FarmaTradingdanDistributionCabang Surabaya melayaniperdaganganbaikditingkatapotik, rumahsakithinggakepasartradisional. Untukmenunjangpelayanannya, dibutuhkantenagakerja yang terampilbaikdalamkemampuanhard skillmaupunsoft skillnya. Dalampenelitianinipendekatan yang digunakanadalahkuantitatifdenganmetodestudikasus, dimanajumlahresponden yang digunakanadalahseluruhkaryawan PT. Kimia FarmaTradingdanDistributionCabang Surabaya yang berjumlah 30 orang. Adapuntujuandaripenelitianiniadalahuntukmengetahuipengaruhhard skilldansoft skillterhadapproduktivitaskaryawan. Berdasarkanhasilanalisa yang dilakukandenganmenggunakan SPSS 22, didapatkanbahwakoefisienregresi (?) untukvariabelhard skillkaryawan (X1) bernilaipositif 0,176 dengannilaisigninfikansisebesar0,015 yang lebihkecildari (?)=0,05 sertahasilthitung2.596>ttabel 2,05183. Inimenunjukkanbahwahard skillberpengaruhpositifdansignifikanterhadapproduktivitaskaryawan PT. Kimia FarmaTradingdanDistributionCabang Surabaya. Sedangkanuntukvariabelsoft skill (X2) didapatkanhasilkoefisienregresi (?) sebesar 0,394 dengannilaisignifikansi0,000 yang lebihkecildaritingkatsignifikan (?)=0,05. Untuknilaithitung8,141>ttabel 2,05183. Inijugamenunjukkanbahwavariabel soft skill berpengaruhpositifdansignifikanterhadapproduktifitaskaryawan PT. Kimia FarmaTradingdanDistributionCabang Surabaya. Secarasimultanvariabelhard skilldansoft skilljugaberpengaruhpositifterhadapproduktivitaskaryawandengannilaiFhitung67,100>F tabel3,354dantarafsignifikansisebesar0,015 yang lebihkecildari (?)=0,05. Variabelhard skill dansoft skillmempunyaipengaruh yang samabesarterhadapproduktivitaskaryawan. Namunvariabelsoft skillmempunyaiperan yang lebihdominan, yang ditunjukkanolehkoefisien ? sebesar 0.759. Sedangkanvariabelhard skill nilaikoefisien beta?hanya 0,242.

Kata Kunci :Hard Skill, Soft Skill, ProduktivitasKaryawan, Perusahaan Farmasi
",pemasaran
Beban Kerja Terhadap Kinerja (Studi Pada Karyawan PT.PAL Indonesia),Penulis : Lailatul Badriya,"Dr.Hj.Iriani Ismail, Dra., MM","Dr.Drs.ec.Chairul Anam,M.kes","Tujuan dari penelitian ini adalah untuk mengetahui Tuntutan Fisik secara positif dan signifikan terhadap kinerja karyawan,  untuk mengetahui pengaruh Tuntutan Tugas secara positif dan signifikan terhadap kinerja karyawan,  untuk mengetahui  Tuntutan Fisik dan Tuntutan Tugas berpengaruh positif dan signifikan terhadap kinerja secara simultan,  dan Tuntutan Tugas berpengaruh dominan terhadap karyawan PT.PAL Indonesia (persero) Divisi Kapal Niaga berjumlah 174 orang. Sampel yang digunakan sebanyak 64 karyawan dengan teknik pengambilan sampel berupa cluster sampling sederhana satu stage. 
Kesimpulan penelitian menunjukkan bahwa Tuntutan Fisik memiliki nilai t hitung < t tabel (2,606 < 1,99897) dan tingkat signifikasi sebesar 0,000 > 0,05 sehingga  berpengaruh secara positif dan signifikan terhadap kinerja karyawan. Tuntutan Tugas memiliki nilai t hitung > t tabel (0,445 > 1,99897) dan tingkat signifikasi sebesar 0,000 < 0,05 sehingga berpengaruh positif dan signifikan terhadap kinerja karyawan. Tuntutan Fisik dan Tuntutan Tugas memiliki nilai F hitung > F tabel (54,519 > 3,15) dan tingkat signifikasi 0,000 < 0,05 sehingga berpengaruh secara simultan dan signifikan kinerja karyawan. Tuntutan Tugas sebesar 0,559 berpengaruh dominan terhadap kinerja karyawan PT.PAL Indonesia 

Keywords: Tuntutan Fisik, Tuntutan Tugas, dan Kinerja Karyawan. 

",keuangan
"CITRA MEREK DAN MINAT MENGGUNAKAN APLIKASI PAYTREN UNTUK PEMBAYARAN TAGIHAN ONLINE  (STUDI PADA PEMBAYARAN LISTRIK, TELEPON, ANGSURAN KREDIT KENDARAAN, DAN INTERNET PADA MASYARAKAT BANGKALAN) ",Penulis : ABD MUQTADIR,"Dr. Drs. Ec. H. Muh. Syarif,MSI","Dr. A. Yahya Suryawinata, S.E.,M.Si","ABSTRAK 
Abd Muqtadir, Citra Merek dan Minat Menggunakan Paytren Untuk 
Pembayaran Tagihan Online (Studi pada Pembayaran Listrik, Telepon, Angsuran 
Kredit   Kendaraan   dan   Internet   Pada   Masyarakat   Bangkalan).   Dibawah 
bimbingan H. Muh. Syarif dan A. Yahya Surya Winata. 
Penelitian ini dilakukan dengan tujuan untuk mengetahui pengaruh citra 
merek yang meliputi citra perusahaan, citra pemakai dan citra produk terhadap 
minat   menggunakan   aplikasi   PayTren   untuk   pembayaran   tagihan   online. 
Populasi pada penelitian ini adalah masyarakat Bangkalan dengan tekhnik 
purposive sampling dengan jumlah sampel 75 responden. Analisis yang 
digunakan adalah analisis regresi linier berganda dengan menggunakan uji t 
serta menggunakan analisis deskriptif. Penelitian ini menggunakan data primer. 
Data yang digunakan dalam penelitian ini diperoleh langsung dari responden 
yang pernah datang ke seminar atau pernah di prospek mitra PayTren. 
Hasil penelitian ini menunjukkan bahwa citra merek yang terdiri dari citra 
perusahaan, citra pemakai dan citra produk dalam kategori baik dan masyarakat 
Bangkalan berminat menggunakan aplikasi PayTren. Variabel citra pemakai tidak 
berpengaruh signifikan terhadap minat menggunakan aplikasi PayTren. 
Sedangkan variabel citra perusahaan dan citra produk berpengaruh signifikan 
terhadap minat menggunakan aplikasi PayTren. 
 
Kata Kunci: Citra merek, Citra perusahaan, Citra pemakai, Citra produk, dan 
minat beli ",msdm
"PENGARUH PRODUK, TEMPAT DAN PROMOSI TERHADAP KEPUTUSAN BERKUNJUNG WISATAWAN (STUDI PADA PANTAI TENGKET MANERON BANGKALAN)",Penulis : Miftahuddin,"Drs. Mohamad Tambrin, M.M","Faidal, S.E., M.M","Miftahuddin, Pengaruh Produk, Tempat dan Promosi terhadap Keputusan Berkunjung Wisatawan di Pantai Tengket, Maneron Bangkalan. Dibawah bimbingan Mohamad Tambrin dan Faidal. 
 
Tujuan Penelitian ini adalah untuk mengetahui pengaruh produk, tempat dan promosi terhadap keputusan berkunjung wisawatawan di Pantai Tengket, Maneron Bangkalan 

Penelitian ini menggunakan pendekatan kuantitatif, metode pengambilan sampel yang digunakan adalah incidental sampling dengan jumlah sampel sebesar 97 responden. Analisis data yang digunakan dalam penelitian ini adalah menggunakan uji validitas, uji reliabilitas, uji normalitas, uji multikolinearitas, uji heteroskedatisitas, regresi linear berganda, uji koefisien determinasi dan uji t

Hasil dari penelitian menunjukkan bahwa dari ke tiga variabel secara parsial (uji t), semua variabel berpengaruh secara positif dan signifikan terhadap keputusan berkunjung. Karena setiap variabel memiliki nilai taraf signifikansi kurang dari 0,05. Produk memiliki dengan nilai signifikasi 0,009, variabel tempat memiliki nilai siginifikansi 0,002 dan variabel promosi memiliki nilai siginifikansi 0,003. 
 
Kata Kunci : Produk, Tempat, Promosi dan Keputusan Berkunjung",pemasaran
